price,land
price,land
0.676,46.5
1.456,48.6
1.186,51.5
1.456,56.99
1.368,59.9
0.994,62.5
1.176,65.5
1.216,69
1.41 7,6.9
1.344,79
1.064,79.9
1.77 7,9.95
1.524,82.9
1.75 8,4.9
1.152,85
1.77 8,7.9
1.624,89.9
1.54 8,9.9
1.532,93.5
1.647,94.9
1.344,95.8
1.55 9,8.5
1.752,99.5
1.45 9,9.9
1.312,102
1.636,106
1.5 10,8.9
1.8 10,9.9
1.972,110
1.387,112.29
2.082,114.9
2.463,119.9
2.572,119.9
2.113,122.9
2.016,123.938
1.852,124.9
2.67 1,26.9
2.336,129.9
1.98 1,32.9
2.483,134.9
2.809,135.9
2.036,139.5
2.298,139.99
2.038,144.9
2.37 1,47.6
2.921,149.99
2.262,152.55
2.456,156.9
2.436,164
1.92 1,67.5
2.949,169.9
3.31 1,75
2.805,179
2.553,179.9
2.51 1,89.5
3.627,199
